* Measurement data measured by REW V5.19
* Source: D:\Downloads\Floyd Toole Trained Listeners only.csv
* Format: Comma/Tab/Space delimited data
* Dated: Oct 22, 2020 9:47:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Downloads\Floyd Toole Trained Listeners only.csv Format: Comma/Tab/Space delimited data 406 values loaded, 20 Hz to 19,672 Hz
* Measurement: Floyd Toole Trained List
* Smoothing: None
* Frequency Step: 0.25000003 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
132.050 3.122 0
132.300 3.115 0
132.550 3.108 0
132.800 3.101 0
133.050 3.093 0
133.300 3.086 0
133.550 3.078 0
133.800 3.070 0
134.050 3.063 0
134.300 3.055 0
134.550 3.047 0
134.800 3.040 0
135.050 3.032 0
135.300 3.025 0
135.550 3.017 0
135.800 3.010 0
136.050 3.003 0
136.300 2.995 0
136.550 2.988 0
136.800 2.981 0
137.050 2.974 0
137.300 2.967 0
137.550 2.960 0
137.800 2.952 0
138.050 2.945 0
138.300 2.938 0
138.550 2.931 0
138.800 2.924 0
139.050 2.917 0
139.300 2.910 0
139.550 2.903 0
139.800 2.895 0
140.050 2.888 0
140.300 2.881 0
140.550 2.874 0
140.800 2.867 0
141.050 2.860 0
141.300 2.853 0
141.550 2.846 0
141.800 2.839 0
142.050 2.833 0
142.300 2.826 0
142.550 2.819 0
142.800 2.812 0
143.050 2.805 0
143.300 2.798 0
143.550 2.791 0
143.800 2.784 0
144.050 2.777 0
144.300 2.770 0
144.550 2.762 0
144.800 2.755 0
145.050 2.748 0
145.300 2.741 0
145.550 2.734 0
145.800 2.727 0
146.050 2.720 0
146.300 2.713 0
146.550 2.707 0
146.800 2.700 0
147.050 2.693 0
147.300 2.687 0
147.550 2.680 0
147.800 2.673 0
148.050 2.667 0
148.300 2.659 0
148.550 2.651 0
148.800 2.644 0
149.050 2.637 0
149.300 2.630 0
149.550 2.624 0
149.800 2.617 0
150.050 2.612 0
150.300 2.607 0
150.550 2.607 0
150.800 2.610 0
151.050 2.612 0
151.300 2.614 0
151.550 2.614 0
151.800 2.610 0
152.050 2.603 0
152.300 2.596 0
152.550 2.589 0
152.800 2.582 0
153.050 2.575 0
153.300 2.568 0
153.550 2.560 0
153.800 2.553 0
154.050 2.546 0
154.300 2.538 0
154.550 2.531 0
154.800 2.523 0
155.050 2.516 0
155.300 2.508 0
155.550 2.501 0
155.800 2.493 0
156.050 2.486 0
156.300 2.478 0
156.550 2.471 0
156.800 2.463 0
157.050 2.455 0
157.300 2.448 0
157.550 2.440 0
157.800 2.432 0
158.050 2.425 0
158.300 2.417 0
158.550 2.409 0
158.800 2.402 0
159.050 2.394 0
159.300 2.387 0
159.550 2.379 0
159.800 2.371 0
160.050 2.364 0
160.300 2.356 0
160.550 2.349 0
160.800 2.342 0
161.050 2.336 0
161.300 2.331 0
161.550 2.325 0
161.800 2.321 0
162.050 2.316 0
162.300 2.311 0
162.550 2.307 0
162.800 2.302 0
163.050 2.298 0
163.300 2.293 0
163.550 2.288 0
163.800 2.283 0
164.050 2.277 0
164.300 2.272 0
164.550 2.267 0
164.800 2.261 0
165.050 2.256 0
165.300 2.251 0
165.550 2.245 0
165.800 2.240 0
166.050 2.235 0
166.300 2.229 0
166.550 2.224 0
166.800 2.219 0
167.050 2.214 0
167.300 2.208 0
167.550 2.203 0
167.800 2.198 0
168.050 2.193 0
168.300 2.188 0
168.550 2.183 0
168.800 2.178 0
169.050 2.172 0
169.300 2.167 0
169.550 2.163 0
169.800 2.158 0
170.050 2.153 0
170.300 2.148 0
170.550 2.143 0
170.800 2.138 0
171.050 2.134 0
171.300 2.129 0
171.550 2.125 0
171.800 2.120 0
172.050 2.116 0
172.300 2.111 0
172.550 2.107 0
172.800 2.103 0
173.050 2.098 0
173.300 2.094 0
173.550 2.090 0
173.800 2.085 0
174.050 2.081 0
174.300 2.076 0
174.550 2.072 0
174.800 2.067 0
175.050 2.063 0
175.300 2.059 0
175.550 2.054 0
175.800 2.050 0
176.050 2.046 0
176.300 2.042 0
176.550 2.039 0
176.800 2.035 0
177.050 2.031 0
177.300 2.028 0
177.550 2.024 0
177.800 2.021 0
178.050 2.018 0
178.300 2.014 0
178.550 2.011 0
178.800 2.008 0
179.050 2.005 0
179.300 2.001 0
179.550 1.998 0
179.800 1.995 0
180.050 1.992 0
180.300 1.989 0
180.550 1.986 0
180.800 1.983 0
181.050 1.980 0
181.300 1.978 0
181.550 1.975 0
181.800 1.973 0
182.050 1.971 0
182.300 1.969 0
182.550 1.968 0
182.800 1.966 0
183.050 1.965 0
183.300 1.963 0
183.550 1.962 0
183.800 1.961 0
184.050 1.960 0
184.300 1.958 0
184.550 1.957 0
184.800 1.956 0
185.050 1.954 0
185.300 1.953 0
185.550 1.951 0
185.800 1.950 0
186.050 1.948 0
186.300 1.947 0
186.550 1.946 0
186.800 1.944 0
187.050 1.943 0
187.300 1.941 0
187.550 1.940 0
187.800 1.939 0
188.050 1.937 0
188.300 1.936 0
188.550 1.935 0
188.800 1.933 0
189.050 1.932 0
189.300 1.931 0
189.550 1.930 0
189.800 1.929 0
190.050 1.928 0
190.300 1.927 0
190.550 1.928 0
190.800 1.929 0
191.050 1.930 0
191.300 1.931 0
191.550 1.931 0
191.800 1.930 0
192.050 1.929 0
192.300 1.925 0
192.550 1.919 0
192.800 1.913 0
193.050 1.907 0
193.300 1.901 0
193.550 1.894 0
193.800 1.888 0
194.050 1.881 0
194.300 1.874 0
194.550 1.868 0
194.800 1.861 0
195.050 1.855 0
195.300 1.848 0
195.550 1.842 0
195.800 1.836 0
196.050 1.830 0
196.300 1.824 0
196.550 1.818 0
196.800 1.814 0
197.050 1.812 0
197.300 1.811 0
197.550 1.810 0
197.800 1.809 0
198.050 1.809 0
198.300 1.809 0
198.550 1.809 0
198.800 1.809 0
199.050 1.809 0
199.300 1.810 0
199.550 1.810 0
199.800 1.810 0
200.050 1.808 0
200.300 1.806 0
200.550 1.804 0
200.800 1.802 0
201.050 1.800 0
201.300 1.798 0
201.550 1.796 0
201.800 1.794 0
202.050 1.793 0
202.300 1.791 0
202.550 1.789 0
202.800 1.787 0
203.050 1.787 0
203.300 1.787 0
203.550 1.787 0
203.800 1.787 0
204.050 1.787 0
204.300 1.787 0
204.550 1.787 0
204.800 1.787 0
205.050 1.787 0
205.300 1.787 0
205.550 1.787 0
205.800 1.787 0
206.050 1.787 0
206.300 1.785 0
206.550 1.783 0
206.800 1.782 0
207.050 1.780 0
207.300 1.778 0
207.550 1.776 0
207.800 1.774 0
208.050 1.772 0
208.300 1.770 0
208.550 1.768 0
208.800 1.766 0
209.050 1.765 0
209.300 1.763 0
209.550 1.763 0
209.800 1.762 0
210.050 1.761 0
210.300 1.761 0
210.550 1.760 0
210.800 1.760 0
211.050 1.760 0
211.300 1.760 0
211.550 1.759 0
211.800 1.759 0
212.050 1.759 0
212.300 1.759 0
212.550 1.759 0
212.800 1.759 0
213.050 1.759 0
213.300 1.759 0
213.550 1.759 0
213.800 1.759 0
214.050 1.759 0
214.300 1.759 0
214.550 1.758 0
